tenure,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,total_votes,margin_votes,margin_pct,competitiveness
17th Lok Sabha,Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,436906,BHARAT MATHUKUMILLI,Telugu Desam,432492,1239754,4414,0.36,marginal
17th Lok Sabha,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,578418,Ashok Gajapathi Raju Pusapati,Telugu Desam,530382,1217890,48036,3.94,marginal
17th Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,Bharatiya Janata Party,153883,Lowangcha Wanglat,Indian National Congress,83935,293781,69948,23.81,safe
17th Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,Bharatiya Janata Party,225796,NABAM TUKI,Indian National Congress,50953,358309,174843,48.8,safe
17th Lok Sabha,Assam,Autonomous District,HOREN SING BEY,Bharatiya Janata Party,381316,BIREN SINGH ENGTI,Indian National Congress,141690,617735,239626,38.79,safe
17th Lok Sabha,Assam,Barpeta,Abdul Khaleque,Indian National Congress,645173,Kumar Deepak Das,Asom Gana Parishad,504866,1458549,140307,9.62,competitive
17th Lok Sabha,Assam,Dhubri,BADRUDDIN AJMAL,All India United Democratic Front,718764,ABU TAHER BEPARI,Indian National Congress,492506,1685005,226258,13.43,competitive
17th Lok Sabha,Assam,Dibrugarh,RAMESWAR TELI,Bharatiya Janata Party,659583,PABAN SINGH GHATOWAR,Indian National Congress,295017,1015748,364566,35.89,safe
17th Lok Sabha,Assam,Gauhati,QUEEN OJA,Bharatiya Janata Party,1008936,BOBBEETA SHARMA,Indian National Congress,663330,1763757,345606,19.59,safe
17th Lok Sabha,Assam,Jorhat,TOPON KUMAR GOGOI,Bharatiya Janata Party,543288,SUSHANTA BORGOHAIN,Indian National Congress,460635,1057965,82653,7.81,competitive
17th Lok Sabha,Assam,Kaliabor,Gaurav Gogoi,Indian National Congress,786092,Moni Madhab Mahanta,Asom Gana Parishad,576098,1424687,209994,14.74,competitive
17th Lok Sabha,Assam,Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,473046,RADHESHYAM BISWAS,All India United Democratic Front,434657,1060072,38389,3.62,marginal
17th Lok Sabha,Assam,Kokrajhar,Naba Kumar Sarania,Independent,484560,Pramila Rani Brahma,Bodoland Peoples Front,446774,1479485,37786,2.55,marginal
17th Lok Sabha,Assam,Lakhimpur,PRADAN BARUAH,Bharatiya Janata Party,776406,ANIL BORGOHAIN,Indian National Congress,425855,1283589,350551,27.31,safe
17th Lok Sabha,Assam,Mangaldoi,DILIP SAIKIA,Bharatiya Janata Party,735469,BHUBANESWAR KALITA,Indian National Congress,596924,1506107,138545,9.2,competitive
17th Lok Sabha,Assam,Nowgong,Pradyut Bordoloi,Indian National Congress,739724,Sri Rupak Sharma,Bharatiya Janata Party,722972,1493475,16752,1.12,marginal
17th Lok Sabha,Assam,Silchar,RAJDEEP ROY,Bharatiya Janata Party,499414,SUSHMITA DEV,Indian National Congress,417818,949696,81596,8.59,competitive
17th Lok Sabha,Assam,Tezpur,PALLAB LOCHAN DAS,Bharatiya Janata Party,684166,M.G.V.K. BHANU,Indian National Congress,441325,1190196,242841,20.4,safe
17th Lok Sabha,Bihar,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,618434,SARFARAZ ALAM,Rashtriya Janata Dal,481193,1169630,137241,11.73,competitive
17th Lok Sabha,Bihar,Arrah,R. K. Singh,Bharatiya Janata Party,566480,Raju Yadav,Communist Party of India  (Marxist-Leninist)  (Liberation),419195,1080684,147285,13.63,competitive
17th Lok Sabha,Bihar,Aurangabad,SUSHIL KUMAR SINGH,Bharatiya Janata Party,431541,UPENDRA PRASAD,Hindustani Awam Morcha (Secular),358934,941595,72607,7.71,competitive
17th Lok Sabha,Bihar,Banka,GIRIDHARI YADAV,Janata Dal  (United),477788,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,277256,995806,200532,20.14,safe
17th Lok Sabha,Bihar,Begusarai,Giriraj Singh,Bharatiya Janata Party,692193,Kanhaiya Kumar,Communist Party of India,269976,1225594,422217,34.45,safe
17th Lok Sabha,Bihar,Bhagalpur,AJAY KUMAR MANDAL,Janata Dal  (United),618254,SHAILESH KUMAR ALIAS VULO MANDAL,Rashtriya Janata Dal,340624,1042518,277630,26.63,safe
17th Lok Sabha,Bihar,Buxar,Ashwini Kumar Choubey,Bharatiya Janata Party,473053,Jagadanand Singh,Rashtriya Janata Dal,355444,986861,117609,11.92,competitive
17th Lok Sabha,Bihar,Darbhanga,Gopal Jee Thakur,Bharatiya Janata Party,586668,Abdul Bari Siddiqui,Rashtriya Janata Dal,318689,964996,267979,27.77,safe
17th Lok Sabha,Bihar,Gaya (SC),Vijay Kumar,Janata Dal  (United),467007,Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),314581,957248,152426,15.92,safe
17th Lok Sabha,Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,Janata Dal  (United),568150,SURENDRA RAM,Rashtriya Janata Dal,281716,1024876,286434,27.95,safe
17th Lok Sabha,Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,Lok Jan Shakti Party,541310,SHIV CHANDRA RAM,Rashtriya Janata Dal,335861,1006817,205449,20.41,safe
17th Lok Sabha,Bihar,Jahanabad,CHANDESHWAR PRASAD,Janata Dal  (United),335584,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,333833,822065,1751,0.21,marginal
17th Lok Sabha,Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,529134,BHUDEO CHOUDHARY,Rashtriya Lok Samta Party,288085,949137,241049,25.4,safe
17th Lok Sabha,Bihar,Jhanjharpur,Ramprit Mandal,Janata Dal  (United),602391,GULAB YADAV,Rashtriya Janata Dal,279440,1060562,322951,30.45,safe
17th Lok Sabha,Bihar,Karakat,MAHABALI SINGH,Janata Dal  (United),398408,UPENDRA KUSHWAHA,Rashtriya Lok Samta Party,313866,868798,84542,9.73,competitive
17th Lok Sabha,Bihar,Katihar,DULAL CHANDRA GOSWAMI,Janata Dal  (United),559423,TARIQ ANWAR,Indian National Congress,502220,1117734,57203,5.12,competitive
17th Lok Sabha,Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,510193,Mukesh Sahani,Vikassheel Insaan Party,261623,966813,248570,25.71,safe
17th Lok Sabha,Bihar,Kishanganj,Dr. Mohammad Jawed,Indian National Congress,367017,Syed Mahmood Ashraf,Janata Dal  (United),332551,1101603,34466,3.13,marginal
17th Lok Sabha,Bihar,Madhepura,Dinesh Chandra Yadav,Janata Dal  (United),624334,Sharad Yadav,Rashtriya Janata Dal,322807,1147274,301527,26.28,safe
17th Lok Sabha,Bihar,Madhubani,ASHOK KUMAR YADAV,Bharatiya Janata Party,595843,BADRI KUMAR PURBEY,Vikassheel Insaan Party,140903,963708,454940,47.21,safe
17th Lok Sabha,Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",Bharatiya Janata Party,546352,Randhir Kumar Singh,Rashtriya Janata Dal,315580,972703,230772,23.72,safe
17th Lok Sabha,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),528762,NILAM DEVI,Indian National Congress,360825,1036268,167937,16.21,safe
17th Lok Sabha,Bihar,Muzaffarpur,Ajay Nishad,Bharatiya Janata Party,666878,Raj Bhushan Choudhary,Vikassheel Insaan Party,256890,1058086,409988,38.75,safe
17th Lok Sabha,Bihar,Nalanda,Kaushlendra Kumar,Janata Dal  (United),540888,Ashok Kumar Azad,Hindustani Awam Morcha (Secular),284751,1031286,256137,24.84,safe
17th Lok Sabha,Bihar,Nawada,Chandan Singh,Lok Jan Shakti Party,495684,Vibha Devi,Rashtriya Janata Dal,347612,942462,148072,15.71,safe
17th Lok Sabha,Bihar,Paschim Champaran,DR. SANJAY JAISWAL,Bharatiya Janata Party,603706,BRIJESH KUMAR KUSHWAHA,Rashtriya Lok Samta Party,309800,1012936,293906,29.02,safe
17th Lok Sabha,Bihar,Pataliputra,RAM KRIPAL YADAV,Bharatiya Janata Party,509557,MISHA BHARTI,Rashtriya Janata Dal,470236,1077749,39321,3.65,marginal
17th Lok Sabha,Bihar,Patna Sahib,RAVI SHANKAR PRASAD,Bharatiya Janata Party,607506,SHATRUGHAN SINHA,Indian National Congress,322849,982285,284657,28.98,safe
17th Lok Sabha,Bihar,Purnia,SANTOSH KUMAR,Janata Dal  (United),632924,UDAY SINGH ALIAS PAPPU SINGH,Indian National Congress,369463,1153940,263461,22.83,safe
17th Lok Sabha,Bihar,Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,577787,AAKASH KUMAR SINGH,Rashtriya Lok Samta Party,284139,999400,293648,29.38,safe
17th Lok Sabha,Bihar,Samastipur (SC),Ramchandra Paswan,Lok Jan Shakti Party,562443,Dr. Ashok Kumar,Indian National Congress,310800,1019025,251643,24.69,safe
17th Lok Sabha,Bihar,Saran,Rajiv Pratap Rudy,Bharatiya Janata Party,499342,Chandrika Roy,Rashtriya Janata Dal,360913,941656,138429,14.7,competitive
17th Lok Sabha,Bihar,Sasaram (SC),CHHEDI PASWAN,Bharatiya Janata Party,494800,MEIRA KUMAR,Indian National Congress,329055,974749,165745,17.0,safe
17th Lok Sabha,Bihar,Sheohar,RAMA DEVI,Bharatiya Janata Party,608678,SYED FAISAL ALI,Rashtriya Janata Dal,268318,1004559,340360,33.88,safe
17th Lok Sabha,Bihar,Sitamarhi,Sunil Kumar Pintu,Janata Dal  (United),567745,Arjun Ray,Rashtriya Janata Dal,317206,1038849,250539,24.12,safe
17th Lok Sabha,Bihar,Siwan,Kavita Singh,Janata Dal  (United),448473,Hena Shahab,Rashtriya Janata Dal,331515,984810,116958,11.88,competitive
17th Lok Sabha,Bihar,Supaul,Dileshwar Kamait,Janata Dal  (United),597377,Ranjeet Ranjan,Indian National Congress,330524,1110805,266853,24.02,safe
17th Lok Sabha,Bihar,Ujiarpur,Nityanand Rai,Bharatiya Janata Party,543906,Upendra Kushwaha,Rashtriya Lok Samta Party,266628,969284,277278,28.61,safe
17th Lok Sabha,Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,568215,Raghuvansh Prasad Singh,Rashtriya Janata Dal,333631,1074730,234584,21.83,safe
17th Lok Sabha,Bihar,Valmiki Nagar,BAIDYANATH PRASAD MAHTO,Janata Dal  (United),602660,SHASHWAT KEDAR,Indian National Congress,248044,1032090,354616,34.36,safe
17th Lok Sabha,Chandigarh,CHANDIGARH,KIRRON KHER,Bharatiya Janata Party,231188,PAWAN KUMAR BANSAL,Indian National Congress,184218,456568,46970,10.29,competitive
17th Lok Sabha,Chhattisgarh,BASTAR,DEEPAK BAIJ,Indian National Congress,402527,BAIDU RAM KASHYAP,Bharatiya Janata Party,363545,912846,38982,4.27,marginal
17th Lok Sabha,Chhattisgarh,BILASPUR,ARUN SAO,Bharatiya Janata Party,634559,ATAL SHRIVASTAV,Indian National Congress,492796,1209434,141763,11.72,competitive
17th Lok Sabha,Chhattisgarh,DURG,VIJAY BAGHEL,Bharatiya Janata Party,849374,PRATIMA CHANDRAKAR,Indian National Congress,457396,1391996,391978,28.16,safe
17th Lok Sabha,Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,Bharatiya Janata Party,572790,RAVI PARASRAM BHARDWAJ,Indian National Congress,489535,1247650,83255,6.67,competitive
17th Lok Sabha,Chhattisgarh,KANKER,MOHAN MANDAVI,Bharatiya Janata Party,546233,BIRESH THAKUR,Indian National Congress,539319,1159193,6914,0.6,marginal
17th Lok Sabha,Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,Indian National Congress,523410,JYOTI NAND DUBEY,Bharatiya Janata Party,497061,1137003,26349,2.32,marginal
17th Lok Sabha,Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,Bharatiya Janata Party,616580,DHANENDRA SAHU,Indian National Congress,526069,1222335,90511,7.4,competitive
17th Lok Sabha,Chhattisgarh,RAIGARH,GOMATI SAI,Bharatiya Janata Party,658335,LALJEET SINGH RATHIA,Indian National Congress,592308,1350124,66027,4.89,marginal
17th Lok Sabha,Chhattisgarh,RAIPUR,Sunil Kumar Soni,Bharatiya Janata Party,837902,Pramod Dubey,Indian National Congress,489664,1396250,348238,24.94,safe
17th Lok Sabha,Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,Bharatiya Janata Party,662387,BHOLA RAM SAHU,Indian National Congress,550421,1307033,111966,8.57,competitive
17th Lok Sabha,Chhattisgarh,SARGUJA,Renuka Singh Saruta,Bharatiya Janata Party,663711,Khel Sai Singh,Indian National Congress,505838,1280689,157873,12.33,competitive
17th Lok Sabha,Dadra & Nagar Haveli,Dadra And Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,Independent,90421,PATEL NATUBHAI GOMANBHAI,Bharatiya Janata Party,81420,198983,9001,4.52,marginal
17th Lok Sabha,Daman & Diu,Daman & diu,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,37597,KETAN DAHYABHAI PATEL,Indian National Congress,27655,87469,9942,11.37,competitive
17th Lok Sabha,Goa,North Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,244844,GIRISH RAYA CHODANKAR,Indian National Congress,164597,428628,80247,18.72,safe
17th Lok Sabha,Goa,South Goa,COSME FRANCISCO CAITANO SARDINHA,Indian National Congress,201561,ADV. NARENDRA SAWAIKAR,Bharatiya Janata Party,191806,424575,9755,2.3,marginal
17th Lok Sabha,Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,Bharatiya Janata Party,749834,Gitaben Patel,Indian National Congress,315504,1116367,434330,38.91,safe
17th Lok Sabha,Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,Bharatiya Janata Party,641622,RAJU PARMAR,Indian National Congress,320076,997024,321546,32.25,safe
17th Lok Sabha,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janata Party,529035,Paresh Dhanani,Indian National Congress,327604,909167,201431,22.16,safe
17th Lok Sabha,Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),Bharatiya Janata Party,633097,BHARATBHAI MADHAVSINH SOLANKI,Indian National Congress,435379,1108661,197718,17.83,safe
17th Lok Sabha,Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,Bharatiya Janata Party,679108,PARTHIBHAI GALBABHAI BHATOL,Indian National Congress,310812,1102081,368296,33.42,safe
17th Lok Sabha,Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,742273,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,Indian National Congress,526826,1348038,215447,15.98,safe
17th Lok Sabha,Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janata Party,637795,Sherkhan Abdulsakur Pathan,Indian National Congress,303581,1149725,334214,29.07,safe
17th Lok Sabha,Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,661273,PATEL MANHARBHAI NAGJIBHAI (VASANI),Indian National Congress,331754,1041279,329519,31.65,safe
17th Lok Sabha,Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,Bharatiya Janata Party,764445,RATHAVA RANJITSINH MOHANSINH,Indian National Congress,386502,1232459,377943,30.67,safe
17th Lok Sabha,Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,561760,KATARA BABUBHAI KHIMABHAI,Indian National Congress,434164,1063212,127596,12.0,competitive
17th Lok Sabha,Gujarat,Gandhinagar,AMIT SHAH,Bharatiya Janata Party,894624,Dr. C. J. CHAVDA,Indian National Congress,337610,1284090,557014,43.38,safe
17th Lok Sabha,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,591588,KANDORIYA MULUBHAI RANMALBHAI,Indian National Congress,354784,1010965,236804,23.42,safe
17th Lok Sabha,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,547952,VANSH PUNJABHAI BHIMABHAI,Indian National Congress,397767,1005224,150185,14.94,competitive
17th Lok Sabha,Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,637034,NARESH NARANBHAI MAHESHWARI,Indian National Congress,331521,1023198,305513,29.86,safe
17th Lok Sabha,Gujarat,Kheda,Chauhan Devusinh,Bharatiya Janata Party,714572,Bimal Shah,Indian National Congress,347427,1098633,367145,33.42,safe
17th Lok Sabha,Gujarat,Mahesana,SHARDABEN ANILBHAI PATEL,Bharatiya Janata Party,659525,A. J. Patel,Indian National Congress,378006,1081938,281519,26.02,safe
17th Lok Sabha,Gujarat,Navsari,C. R. Patil,Bharatiya Janata Party,972739,PATEL DHARMESHBHAI BHIMBHAI,Indian National Congress,283071,1308018,689668,52.73,safe
17th Lok Sabha,Gujarat,Panchmahal,Ratansinh Magansinh Rathod,Bharatiya Janata Party,732136,Khant Vechatbhai Kuberbhai,Indian National Congress,303595,1083676,428541,39.55,safe
17th Lok Sabha,Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,633368,JAGDISH THAKOR,Indian National Congress,439489,1126256,193879,17.21,safe
17th Lok Sabha,Gujarat,Porbandar,RAMESHBHAI LAVJIBHAI DHADUK,Bharatiya Janata Party,563881,LALIT VASOYA,Indian National Congress,334058,949947,229823,24.19,safe
17th Lok Sabha,Gujarat,Rajkot,KUNDARIA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,758645,KAGATHARA LALITBHAI,Indian National Congress,390238,1195271,368407,30.82,safe
17th Lok Sabha,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,701984,THAKOR RAJENDRASINH SHIVSINH,Indian National Congress,432997,1218354,268987,22.08,safe
17th Lok Sabha,Gujarat,Surat,Darshana Vikram Jardosh,Bharatiya Janata Party,795651,Ashok Patel (Adhevada),Indian National Congress,247421,1068412,548230,51.31,safe
17th Lok Sabha,Gujarat,Surendranagar,Dr. MUNJAPARA MAHENDRABHAI,Bharatiya Janata Party,631844,KOLI PATEL SOMABHAI GANDALAL,Indian National Congress,354407,1077726,277437,25.74,safe
17th Lok Sabha,Gujarat,Vadodara,RANJANBEN BHATT,Bharatiya Janata Party,883719,PRASHANT PATEL (TIKO),Indian National Congress,294542,1222348,589177,48.2,safe
17th Lok Sabha,Gujarat,Valsad,Dr.K.C.PATEL,Bharatiya Janata Party,771980,CHAUDHARI JITUBHAI HARJIBHAI,Indian National Congress,418183,1260377,353797,28.07,safe
17th Lok Sabha,Haryana,Ambala,RATTAN LAL KATARIA,Bharatiya Janata Party,746508,SELJA,Indian National Congress,404163,1316235,342345,26.01,safe
17th Lok Sabha,Haryana,Bhiwani-Mahendragarh,Dharambir Singh S/o Bhale Ram,Bharatiya Janata Party,736699,Shruti Choudhry,Indian National Congress,292236,1161115,444463,38.28,safe
17th Lok Sabha,Haryana,Faridabad,KRISHAN PAL,Bharatiya Janata Party,913222,AVTAR SINGH BHADANA,Indian National Congress,274983,1327295,638239,48.09,safe
17th Lok Sabha,Haryana,Gurgaon,RAO INDERJIT SINGH,Bharatiya Janata Party,881546,CAPT. AJAY SINGH,Indian National Congress,495290,1446509,386256,26.7,safe
17th Lok Sabha,Haryana,Hisar,BRIJENDRA SINGH,Bharatiya Janata Party,603289,DUSHYANT CHAUTALA,Jannayak Janta Party,289221,1179869,314068,26.62,safe
17th Lok Sabha,Haryana,Karnal,Sanjay Bhatia,Bharatiya Janata Party,911594,Kuldip Sharma,Indian National Congress,255452,1300722,656142,50.44,safe
17th Lok Sabha,Haryana,Kurukshetra,NAYAB SINGH,Bharatiya Janata Party,688629,NIRMAL SINGH,Indian National Congress,304038,1230202,384591,31.26,safe
17th Lok Sabha,Haryana,Rohtak,ARVIND KUMAR SHARMA,Bharatiya Janata Party,573845,DEEPENDER SINGH HOODA,Indian National Congress,566342,1220571,7503,0.61,marginal
17th Lok Sabha,Haryana,Sirsa,Sunita Duggal,Bharatiya Janata Party,714351,Ashok Tanwar,Indian National Congress,404433,1369486,309918,22.63,safe
17th Lok Sabha,Haryana,Sonipat,RAMESH CHANDER KAUSHIK,Bharatiya Janata Party,587664,BHUPINDER SINGH HOODA,Indian National Congress,422800,1129532,164864,14.6,competitive
17th Lok Sabha,Himachal Pradesh,Hamirpur,ANURAG SINGH THAKUR,Bharatiya Janata Party,682692,RAM LAL THAKUR,Indian National Congress,283120,988765,399572,40.41,safe
17th Lok Sabha,Himachal Pradesh,Kangra,Kishan Kapoor,Bharatiya Janata Party,725218,Pawan Kajal,Indian National Congress,247595,1006989,477623,47.43,safe
17th Lok Sabha,Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,Bharatiya Janata Party,647189,AASHRAY SHARMA,Indian National Congress,241730,941371,405459,43.07,safe
17th Lok Sabha,Himachal Pradesh,Shimla,SURESH KUMAR KASHYAP,Bharatiya Janata Party,606183,DHANI RAM SHANDIL,Indian National Congress,278668,913608,327515,35.85,safe
17th Lok Sabha,Jammu & Kashmir,Anantnag,HASNAIN MASOODI,Jammu & Kashmir National Conference,40180,GHULAM AHMAD MIR,Indian National Congress,33504,124896,6676,5.35,competitive
17th Lok Sabha,Jammu & Kashmir,Baramulla,MOHAMMAD AKBAR LONE,Jammu & Kashmir National Conference,133426,RAJA AIJAZ ALI,Jammu & Kashmir People Conference,103193,455550,30233,6.64,competitive
17th Lok Sabha,Jammu & Kashmir,Jammu,Jugal Kishore,Bharatiya Janata Party,858066,Raman Bhalla,Indian National Congress,555191,1478795,302875,20.48,safe
17th Lok Sabha,Jammu & Kashmir,Ladakh,Jamyang Tsering Namgyal,Bharatiya Janata Party,42914,Sajjad Hussain,Independent,31984,126426,10930,8.65,competitive
17th Lok Sabha,Jammu & Kashmir,Srinagar,Farooq Abdullah,Jammu & Kashmir National Conference,106750,Aga Syed Mohsin,Peoples Democratic Party,36700,186832,70050,37.49,safe
17th Lok Sabha,Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,Bharatiya Janata Party,724311,VIKRAMADITYA SINGH,Indian National Congress,367059,1180123,357252,30.27,safe
