tenure,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,total_votes,margin_votes,margin_pct,competitiveness
17th Lok Sabha,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,95308,VISHAL JOLLY,Bharatiya Janata Party,93901,207296,1407,0.68,marginal
17th Lok Sabha,Andhra Pradesh,Amalapuram,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,485313,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,445347,1230903,39966,3.25,marginal
17th Lok Sabha,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,586226,ADARI ANAND KUMAR,Telugu Desam,497034,1238491,89192,7.2,competitive
17th Lok Sabha,Andhra Pradesh,Anantapur,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,695208,J.C. PAVAN REDDY,Telugu Desam,553780,1342306,141428,10.54,competitive
17th Lok Sabha,Andhra Pradesh,Aruku,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,562190,KISHORE CHANDRA DEO,Telugu Desam,338101,1074538,224089,20.85,safe
17th Lok Sabha,Andhra Pradesh,Bapatla,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,598257,MALYADRI SRIRAM,Telugu Desam,582192,1266492,16065,1.27,marginal
17th Lok Sabha,Andhra Pradesh,Chittoor,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,686792,NARAMALLI SIVA PRASAD,Telugu Desam,549521,1319472,137271,10.4,competitive
17th Lok Sabha,Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,676809,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,510884,1327923,165925,12.5,competitive
17th Lok Sabha,Andhra Pradesh,Guntur,Jayadev Galla,Telugu Desam,587918,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,583713,1351474,4205,0.31,marginal
17th Lok Sabha,Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,706602,KRISTAPPA . NIMMALA,Telugu Desam,565854,1338514,140748,10.52,competitive
17th Lok Sabha,Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,783799,Chadipirala Adi Narayana Reddy,Telugu Desam,402823,1228592,380976,31.01,safe
17th Lok Sabha,Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,537630,CHALAMALASETTY SUNIL,Telugu Desam,511892,1234655,25738,2.08,marginal
17th Lok Sabha,Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,602554,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,453665,1182011,148889,12.6,competitive
17th Lok Sabha,Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,571436,KONAKALLA NARAYANA RAO,Telugu Desam,511295,1241605,60141,4.84,marginal
17th Lok Sabha,Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,720888,MANDRA SIVANANDA REDDY,Telugu Desam,470769,1299093,250119,19.25,safe
17th Lok Sabha,Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,745089,RAYAPATI SAMBASIVARAO,Telugu Desam,591111,1437675,153978,10.71,competitive
17th Lok Sabha,Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,447594,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),Telugu Desam,415685,1174441,31909,2.72,marginal
17th Lok Sabha,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,683830,Beeda Masthan Rao,Telugu Desam,535259,1287036,148571,11.54,competitive
17th Lok Sabha,Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,Yuvajana Sramika Rythu Congress Party,739202,SIDDA RAGHAVA RAO,Telugu Desam,524351,1342368,214851,16.01,safe
17th Lok Sabha,Andhra Pradesh,Rajahmundry,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,582024,MAGANTI ROOPA,Telugu Desam,460390,1250427,121634,9.73,competitive
17th Lok Sabha,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,702211,D A SATHYA PRABHA,Telugu Desam,433927,1224354,268284,21.91,safe
17th Lok Sabha,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,Telugu Desam,534544,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,527891,1157329,6653,0.57,marginal
17th Lok Sabha,Andhra Pradesh,Tirupati,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,722877,Panabaka Lakshmi,Telugu Desam,494501,1313515,228376,17.39,safe
17th Lok Sabha,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),Telugu Desam,575498,POTLURI.V.PRASAD ( P V P ),Yuvajana Sramika Rythu Congress Party,566772,1277711,8726,0.68,marginal
