tenure,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,total_votes,margin_votes,margin_pct,competitiveness
18th Lok Sabha,Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,102436,KULDEEP RAI SHARMA,Indian National Congress,78040,202514,24396,12.05,competitive
18th Lok Sabha,Andhra Pradesh,Amalapuram ,G M HARISH (BALAYOGI),Telugu Desam,796981,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785,1301106,342196,26.3,safe
18th Lok Sabha,Andhra Pradesh,Anakapalle,C.M.RAMESH,Bharatiya Janata Party,762069,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,465539,1325332,296530,22.37,safe
18th Lok Sabha,Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,579690,1440428,188555,13.09,competitive
18th Lok Sabha,Andhra Pradesh,Araku ,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005,KOTHAPALLI GEETHA,Bharatiya Janata Party,426425,1164445,50580,4.34,marginal
18th Lok Sabha,Andhra Pradesh,Bapatla ,KRISHNA PRASAD TENNETI,Telugu Desam,717493,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,509462,1300745,208031,15.99,safe
18th Lok Sabha,Andhra Pradesh,Chittoor,DAGGUMALLA PRASADA RAO,Telugu Desam,778071,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,557592,1418857,220479,15.54,safe
18th Lok Sabha,Andhra Pradesh,Eluru,PUTTA MAHESH KUMAR,Telugu Desam,746351,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,564494,1382049,181857,13.16,competitive
18th Lok Sabha,Andhra Pradesh,Guntur,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,864948,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,520253,1425371,344695,24.18,safe
18th Lok Sabha,Andhra Pradesh,Hindupur,B K PARTHASARATHI,Telugu Desam,725534,J SHANTHA,Yuvajana Sramika Rythu Congress Party,593107,1416339,132427,9.35,competitive
18th Lok Sabha,Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,605143,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,542448,1321975,62695,4.74,marginal
18th Lok Sabha,Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,729699,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,500208,1329803,229491,17.26,safe
18th Lok Sabha,Andhra Pradesh,Kurnoolu,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,658914,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,547616,1330780,111298,8.36,competitive
18th Lok Sabha,Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,724439,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,501260,1312004,223179,17.01,safe
18th Lok Sabha,Andhra Pradesh,Nandyal,DR BYREDDY SHABARI,Telugu Desam,701131,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,589156,1404418,111975,7.97,competitive
18th Lok Sabha,Andhra Pradesh,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,707343,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,430541,1230994,276802,22.49,safe
18th Lok Sabha,Andhra Pradesh,Narsaraopet,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,807996,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,648267,1499569,159729,10.65,competitive
18th Lok Sabha,Andhra Pradesh,Nellore,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,766202,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,520300,1375649,245902,17.88,safe
18th Lok Sabha,Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,Telugu Desam,701894,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,651695,1422214,50199,3.53,marginal
18th Lok Sabha,Andhra Pradesh,Rajahmundry,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,726515,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,487376,1325297,239139,18.04,safe
18th Lok Sabha,Andhra Pradesh,Rajampet,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,644844,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,568773,1332939,76071,5.71,competitive
18th Lok Sabha,Andhra Pradesh,Srikakulam,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,754328,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,426427,1235686,327901,26.54,safe
18th Lok Sabha,Andhra Pradesh,Thirupathi,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,632228,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,617659,1382570,14569,1.05,marginal
18th Lok Sabha,Andhra Pradesh,Vijayawada,KESINENI SIVANATH (CHINNI),Telugu Desam,794154,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,512069,1364405,282085,20.67,safe
18th Lok Sabha,Andhra Pradesh,Visakhapatnam,SRIBHARAT MATHUKUMILI,Telugu Desam,907467,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,403220,1387125,504247,36.35,safe
18th Lok Sabha,Andhra Pradesh,Vizianagaram,APPALANAIDU KALISETTI,Telugu Desam,743113,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,493762,1299242,249351,19.19,safe
18th Lok Sabha,Arunachal Pradesh,Arunachal East,TAPIR GAO,Bharatiya Janata Party,145581,BOSIRAM SIRAM,Indian National Congress,115160,323443,30421,9.41,competitive
18th Lok Sabha,Arunachal Pradesh,Arunachal West,KIREN RIJIJU,Bharatiya Janata Party,205417,NABAM TUKI,Indian National Congress,104679,399804,100738,25.2,safe
18th Lok Sabha,Assam,Barpeta,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,860113,DEEP BAYAN,Indian National Congress,637762,1685943,222351,13.19,competitive
18th Lok Sabha,Assam,Darrang-Udalguri,DILIP SAIKIA,Bharatiya Janata Party,868387,MADHAB RAJBANGSHI,Indian National Congress,539375,1811200,329012,18.17,safe
18th Lok Sabha,Assam,Dhubri,RAKIBUL HUSSAIN,Indian National Congress,1471885,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,459409,2453608,1012476,41.26,safe
18th Lok Sabha,Assam,Dibrugarh,SARBANANDA SONOWAL,Bharatiya Janata Party,693762,LURINJYOTI GOGOI,Assam Jatiya Parishad,414441,1278322,279321,21.85,safe
18th Lok Sabha,Assam,Diphu,AMARSING TISSO,Bharatiya Janata Party,334620,J. I. KATHAR,Independent,187017,682827,147603,21.62,safe
18th Lok Sabha,Assam,Guwahati,BIJULI KALITA  MEDHI,Bharatiya Janata Party,894887,MIRA BORTHAKUR GOSWAMI,Indian National Congress,643797,1599389,251090,15.7,safe
18th Lok Sabha,Assam,Jorhat,GAURAV GOGOI,Indian National Congress,751771,TOPON KUMAR GOGOI,Bharatiya Janata Party,607378,1391160,144393,10.38,competitive
18th Lok Sabha,Assam,Karimganj,KRIPANATH MALLAH,Bharatiya Janata Party,545093,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,526733,1146882,18360,1.6,marginal
18th Lok Sabha,Assam,Kaziranga,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,897043,ROSELINA TIRKEY,Indian National Congress,648096,1629937,248947,15.27,safe
18th Lok Sabha,Assam,Kokrajhar,JOYANTA BASUMATARY,"United People’s Party, Liberal",488995,KAMPA BORGOYARI,Bodoland Peoples Front,437412,1241496,51583,4.15,marginal
18th Lok Sabha,Assam,Lakhimpur,PRADAN BARUAH,Bharatiya Janata Party,663122,UDAY SHANKAR HAZARIKA,Indian National Congress,461865,1211214,201257,16.62,safe
18th Lok Sabha,Assam,Nagaon,PRADYUT BORDOLOI,Indian National Congress,788850,SURESH BORAH,Bharatiya Janata Party,576619,1549998,212231,13.69,competitive
18th Lok Sabha,Assam,Silchar,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,652405,SURYA KANTA SARKAR,Indian National Congress,388094,1089426,264311,24.26,safe
18th Lok Sabha,Assam,Sonitpur,RANJIT DUTTA,Bharatiya Janata Party,775788,PREMLAL GANJU,Indian National Congress,414380,1288468,361408,28.05,safe
18th Lok Sabha,Bihar,Araria,PRADEEP KUMAR SINGH,Bharatiya Janata Party,600146,SHAHNAWAZ,Rashtriya Janata Dal,580052,1252560,20094,1.6,marginal
18th Lok Sabha,Bihar,Arrah,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),529382,R. K. SINGH,Bharatiya Janata Party,469574,1096561,59808,5.45,competitive
18th Lok Sabha,Bihar,Aurangabad,ABHAY KUMAR SINHA,Rashtriya Janata Dal,465567,SUSHIL KUMAR SINGH,Bharatiya Janata Party,386456,945880,79111,8.36,competitive
18th Lok Sabha,Bihar,Banka,GIRIDHARI YADAV,Janata Dal  (United),506678,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,402834,1014155,103844,10.24,competitive
18th Lok Sabha,Bihar,Begusarai,GIRIRAJ SINGH,Bharatiya Janata Party,649331,ABDHESH KUMAR ROY,Communist Party of India,567851,1294673,81480,6.29,competitive
18th Lok Sabha,Bihar,Bhagalpur,AJAY KUMAR MANDAL,Janata Dal  (United),536031,AJEET SHARMA,Indian National Congress,431163,1064081,104868,9.86,competitive
18th Lok Sabha,Bihar,Buxar,SUDHAKAR SINGH,Rashtriya Janata Dal,438345,MITHILESH TIWARI,Bharatiya Janata Party,408254,1073759,30091,2.8,marginal
18th Lok Sabha,Bihar,Darbhanga,GOPAL JEE THAKUR,Bharatiya Janata Party,566630,LALIT KUMAR YADAV,Rashtriya Janata Dal,388474,1024184,178156,17.39,safe
18th Lok Sabha,Bihar,Gaya,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),494960,KUMAR SARVJEET,Rashtriya Janata Dal,393148,963676,101812,10.56,competitive
18th Lok Sabha,Bihar,Gopalganj,DR. ALOK KUMAR SUMAN,Janata Dal  (United),511866,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,384686,1063027,127180,11.96,competitive
18th Lok Sabha,Bihar,Hajipur,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),615718,SHIV CHANDRA RAM,Rashtriya Janata Dal,445613,1155324,170105,14.72,competitive
18th Lok Sabha,Bihar,Jahanabad,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,443035,CHANDESHWAR PRASAD,Janata Dal  (United),300444,925370,142591,15.41,safe
18th Lok Sabha,Bihar,Jamui,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),509046,ARCHANA KUMARI,Rashtriya Janata Dal,396564,979233,112482,11.49,competitive
18th Lok Sabha,Bihar,Jhanjharpur,RAMPRIT MANDAL,Janata Dal  (United),533032,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,348863,1093741,184169,16.84,safe
18th Lok Sabha,Bihar,Karakat,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),380581,PAWAN SINGH,Independent,274723,1031618,105858,10.26,competitive
18th Lok Sabha,Bihar,Katihar,TARIQ ANWAR,Indian National Congress,567092,DULAL CHANDRA GOSWAMI,Janata Dal  (United),517229,1171546,49863,4.26,marginal
18th Lok Sabha,Bihar,Khagaria,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),538657,SANJAY KUMAR,Communist Party of India  (Marxist),377526,1061894,161131,15.17,safe
18th Lok Sabha,Bihar,Kishanganj,MOHAMMAD JAWED,Indian National Congress,402850,MUJAHID ALAM,Janata Dal  (United),343158,1151099,59692,5.19,competitive
18th Lok Sabha,Bihar,Madhepura,DINESH CHANDRA YADAV,Janata Dal  (United),640649,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,466115,1209695,174534,14.43,competitive
18th Lok Sabha,Bihar,Madhubani,ASHOK KUMAR YADAV,Bharatiya Janata Party,553428,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,401483,1027728,151945,14.78,competitive
18th Lok Sabha,Bihar,Maharajganj,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,529533,AAKASH KUMAR SINGH,Indian National Congress,426882,1014109,102651,10.12,competitive
18th Lok Sabha,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),550146,KUMARI ANITA,Rashtriya Janata Dal,469276,1139081,80870,7.1,competitive
18th Lok Sabha,Bihar,Muzaffarpur,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,619749,AJAY NISHAD,Indian National Congress,384822,1112460,234927,21.12,safe
18th Lok Sabha,Bihar,Nalanda,KAUSHALENDRA KUMAR,Janata Dal  (United),559422,DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),390308,1144383,169114,14.78,competitive
18th Lok Sabha,Bihar,Nawada,VIVEK THAKUR,Bharatiya Janata Party,410608,SHRAWAN KUMAR,Rashtriya Janata Dal,342938,869870,67670,7.78,competitive
