tenure,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,total_votes,margin_votes,margin_pct,competitiveness
18th Lok Sabha,Bihar,Paschim Champaran,DR.SANJAY JAISWAL,Bharatiya Janata Party,580421,MADAN MOHAN TIWARI,Indian National Congress,443853,1086256,136568,12.57,competitive
18th Lok Sabha,Bihar,Patliputra,MISHA BHARTI,Rashtriya Janata Dal,613283,RAM KRIPAL YADAV,Bharatiya Janata Party,528109,1230099,85174,6.92,competitive
18th Lok Sabha,Bihar,Patna Sahib,RAVI SHANKAR PRASAD,Bharatiya Janata Party,588270,ANSHUL AVIJIT,Indian National Congress,434424,1075496,153846,14.3,competitive
18th Lok Sabha,Bihar,Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,567556,SANTOSH KUMAR,Janata Dal  (United),543709,1195844,23847,1.99,marginal
18th Lok Sabha,Bihar,Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,542193,DR RAJESH KUMAR,Vikassheel Insaan Party,453906,1073688,88287,8.22,competitive
18th Lok Sabha,Bihar,Samastipur,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579786,SUNNY HAZARI,Indian National Congress,392535,1094592,187251,17.11,safe
18th Lok Sabha,Bihar,Saran,RAJIV PRATAP RUDY,Bharatiya Janata Party,471752,ROHINI ACHARYA,Rashtriya Janata Dal,458091,1021508,13661,1.34,marginal
18th Lok Sabha,Bihar,Sasaram,MANOJ KUMAR,Indian National Congress,513004,SHIVESH KUMAR,Bharatiya Janata Party,493847,1097075,19157,1.75,marginal
18th Lok Sabha,Bihar,Sheohar,LOVELY ANAND,Janata Dal  (United),476612,RITU JAISWAL,Rashtriya Janata Dal,447469,1055602,29143,2.76,marginal
18th Lok Sabha,Bihar,Sitamarhi,DEVESH CHANDRA THAKUR,Janata Dal  (United),515719,ARJUN RAY,Rashtriya Janata Dal,464363,1093992,51356,4.69,marginal
18th Lok Sabha,Bihar,Siwan,VIJAYLAKSHMI DEVI,Janata Dal  (United),386508,HENA SHAHAB,Independent,293651,998018,92857,9.3,competitive
18th Lok Sabha,Bihar,Supaul,DILESHWAR KAMAIT,Janata Dal  (United),595038,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,425235,1231114,169803,13.79,competitive
18th Lok Sabha,Bihar,Ujiarpur,NITYANAND RAI,Bharatiya Janata Party,515965,ALOK KUMAR MEHTA,Rashtriya Janata Dal,455863,1042068,60102,5.77,competitive
18th Lok Sabha,Bihar,Vaishali,VEENA DEVI,Lok Janshakti Party(Ram Vilas),567043,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,477409,1172060,89634,7.65,competitive
18th Lok Sabha,Bihar,Valmiki Nagar,SUNIL KUMAR,Janata Dal  (United),523422,DEEPAK YADAV,Rashtriya Janata Dal,424747,1101830,98675,8.96,competitive
18th Lok Sabha,Chandigarh,Chandigarh,MANISH TEWARI,Indian National Congress,216657,SANJAY TANDON,Bharatiya Janata Party,214153,449275,2504,0.56,marginal
18th Lok Sabha,Chhattisgarh,BASTAR,MAHESH KASHYAP,Bharatiya Janata Party,458398,KAWASI LAKHMA,Indian National Congress,403153,1007395,55245,5.48,competitive
18th Lok Sabha,Chhattisgarh,BILASPUR,TOKHAN SAHU,Bharatiya Janata Party,724937,DEVENDRA YADAV,Indian National Congress,560379,1361350,164558,12.09,competitive
18th Lok Sabha,Chhattisgarh,DURG,VIJAY BAGHEL,Bharatiya Janata Party,956497,RAJENDRA SAHU,Indian National Congress,518271,1542787,438226,28.4,safe
18th Lok Sabha,Chhattisgarh,JANJGIR-CHAMPA,KAMLESH JANGDE,Bharatiya Janata Party,678199,DR. SHIVKUMAR DAHARIYA,Indian National Congress,618199,1392240,60000,4.31,marginal
18th Lok Sabha,Chhattisgarh,KANKER,BHOJRAJ NAG,Bharatiya Janata Party,597624,BIRESH THAKUR,Indian National Congress,595740,1265429,1884,0.15,marginal
18th Lok Sabha,Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,Indian National Congress,570182,SAROJ PANDEY,Bharatiya Janata Party,526899,1225313,43283,3.53,marginal
18th Lok Sabha,Chhattisgarh,MAHASAMUND,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,703659,TAMRADHWAJ SAHU,Indian National Congress,558203,1326080,145456,10.97,competitive
18th Lok Sabha,Chhattisgarh,RAIGARH,RADHESHYAM RATHIYA,Bharatiya Janata Party,808275,DR. MENKA DEVI SINGH,Indian National Congress,567884,1452965,240391,16.54,safe
18th Lok Sabha,Chhattisgarh,RAIPUR,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,1050351,VIKAS UPADHYAY,Indian National Congress,475066,1586755,575285,36.26,safe
18th Lok Sabha,Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,Bharatiya Janata Party,712057,BHUPESH BAGHEL,Indian National Congress,667646,1445765,44411,3.07,marginal
18th Lok Sabha,Chhattisgarh,SURGUJA,CHINTAMANI MAHARAJ,Bharatiya Janata Party,713200,SHASHI SINGH KORAM,Indian National Congress,648378,1455269,64822,4.45,marginal
18th Lok Sabha,Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,121074,AJIT RAMJIBHAI MAHALA,Indian National Congress,63490,205588,57584,28.01,safe
18th Lok Sabha,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,PATEL UMESHBHAI BABUBHAI,Independent,42523,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36298,92410,6225,6.74,competitive
18th Lok Sabha,Goa,North Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,257326,RAMAKANT KHALAP,Indian National Congress,141311,456018,116015,25.44,safe
18th Lok Sabha,Goa,South Goa,CAPTAIN  VIRIATO FERNANDES,Indian National Congress,217836,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,204301,450520,13535,3.0,marginal
18th Lok Sabha,Gujarat,Ahmedabad East,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,770459,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,308704,1128339,461755,40.92,safe
18th Lok Sabha,Gujarat,Ahmedabad West,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,611704,BHARAT YOGENDRA MAKWANA,Indian National Congress,325267,966646,286437,29.63,safe
18th Lok Sabha,Gujarat,Amreli,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,580872,JENNY THUMMAR,Indian National Congress,259804,876426,321068,36.63,safe
18th Lok Sabha,Gujarat,Anand,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,612484,AMIT CHAVDA,Indian National Congress,522545,1167969,89939,7.7,competitive
18th Lok Sabha,Gujarat,Banaskantha,GENIBEN NAGAJI THAKOR,Indian National Congress,671883,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,641477,1375903,30406,2.21,marginal
18th Lok Sabha,Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,763950,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,533697,1339333,230253,17.19,safe
18th Lok Sabha,Gujarat,Bharuch,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,608157,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,522461,1198964,85696,7.15,competitive
18th Lok Sabha,Gujarat,Bhavnagar,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,716883,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,261594,1047232,455289,43.48,safe
18th Lok Sabha,Gujarat,Chhota Udaipur,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,796589,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,397812,1267719,398777,31.46,safe
18th Lok Sabha,Gujarat,Dahod,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,688715,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,355038,1118294,333677,29.84,safe
18th Lok Sabha,Gujarat,Gandhinagar,AMIT SHAH,Bharatiya Janata Party,1010972,SONAL RAMANBHAI PATEL,Indian National Congress,266256,1321802,744716,56.34,safe
18th Lok Sabha,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,620049,ADVOCATE J. P. MARAVIYA,Indian National Congress,382041,1051235,238008,22.64,safe
18th Lok Sabha,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,584049,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,448555,1068253,135494,12.68,competitive
18th Lok Sabha,Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,659574,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,390792,1095157,268782,24.54,safe
18th Lok Sabha,Gujarat,Kheda,DEVUSINH CHAUHAN,Bharatiya Janata Party,744435,KALUSINH DABHI,Indian National Congress,386677,1175848,357758,30.43,safe
18th Lok Sabha,Gujarat,Mahesana,HARIBHAI PATEL,Bharatiya Janata Party,686406,RAMJI THAKOR,Indian National Congress,358360,1076827,328046,30.46,safe
18th Lok Sabha,Gujarat,Navsari,C R PATIL,Bharatiya Janata Party,1031065,NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,257514,1338216,773551,57.8,safe
18th Lok Sabha,Gujarat,Panchmahal,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,794579,GULABSINH SOMSINH CHAUHAN,Indian National Congress,285237,1131497,509342,45.01,safe
18th Lok Sabha,Gujarat,Patan,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,591947,CHANDANJI TALAJI THAKOR,Indian National Congress,560071,1193125,31876,2.67,marginal
18th Lok Sabha,Gujarat,Porbandar,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,633118,LALIT VASOYA,Indian National Congress,249758,928977,383360,41.27,safe
18th Lok Sabha,Gujarat,Rajkot,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,857984,DHANANI PARESH,Indian National Congress,373724,1273542,484260,38.02,safe
18th Lok Sabha,Gujarat,Sabarkantha,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,677318,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,521636,1269358,155682,12.26,competitive
18th Lok Sabha,Gujarat,Surendranagar,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,669749,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,408132,1131377,261617,23.12,safe
18th Lok Sabha,Gujarat,Vadodara,DR. HEMANG JOSHI,Bharatiya Janata Party,873189,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,291063,1212149,582126,48.02,safe
18th Lok Sabha,Gujarat,Valsad,DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party,764226,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,553522,1361411,210704,15.48,safe
18th Lok Sabha,Haryana,AMBALA,VARUN CHAUDHRY,Indian National Congress,663657,BANTO KATARIA,Bharatiya Janata Party,614621,1346722,49036,3.64,marginal
18th Lok Sabha,Haryana,BHIWANI-MAHENDRAGARH,DHARAMBIR SINGH,Bharatiya Janata Party,588664,RAO DAN SINGH,Indian National Congress,547154,1183395,41510,3.51,marginal
18th Lok Sabha,Haryana,FARIDABAD,KRISHAN PAL,Bharatiya Janata Party,788569,MAHENDER PRATAP SINGH,Indian National Congress,615655,1471322,172914,11.75,competitive
18th Lok Sabha,Haryana,GURGAON,RAO INDERJIT SINGH,Bharatiya Janata Party,808336,RAJ BABBAR,Indian National Congress,733257,1601232,75079,4.69,marginal
18th Lok Sabha,Haryana,HISAR,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,570424,RANJIT SINGH,Bharatiya Janata Party,507043,1174115,63381,5.4,competitive
18th Lok Sabha,Haryana,KARNAL,MANOHAR LAL,Bharatiya Janata Party,739285,DIVYANSHU BUDHIRAJA,Indian National Congress,506708,1345892,232577,17.28,safe
18th Lok Sabha,Haryana,KURUKSHETRA,NAVEEN JINDAL,Bharatiya Janata Party,542175,DR SUSHIL GUPTA,Aam Aadmi Party,513154,1205872,29021,2.41,marginal
18th Lok Sabha,Haryana,ROHTAK,DEEPENDER SINGH HOODA,Indian National Congress,783578,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,438280,1248446,345298,27.66,safe
18th Lok Sabha,Haryana,SIRSA,SELJA,Indian National Congress,733823,ASHOK TANWAR,Bharatiya Janata Party,465326,1354632,268497,19.82,safe
18th Lok Sabha,Haryana,SONIPAT,SATPAL BRAHAMCHARI,Indian National Congress,548682,MOHAN LAL BADOLI,Bharatiya Janata Party,526866,1123944,21816,1.94,marginal
18th Lok Sabha,Himachal Pradesh,HAMIRPUR,ANURAG SINGH THAKUR,Bharatiya Janata Party,607068,SATPAL RAIZADA,Indian National Congress,424711,1047263,182357,17.41,safe
18th Lok Sabha,Himachal Pradesh,KANGRA,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,632793,ANAND SHARMA,Indian National Congress,380898,1036868,251895,24.29,safe
18th Lok Sabha,Himachal Pradesh,MANDI,KANGNA RANAUT,Bharatiya Janata Party,537022,VIKRAMADITYA SINGH,Indian National Congress,462267,1015810,74755,7.36,competitive
18th Lok Sabha,Himachal Pradesh,SHIMLA,Suresh Kumar Kashyap,Bharatiya Janata Party,519748,Vinod Sultanpuri,Indian National Congress,428297,969965,91451,9.43,competitive
18th Lok Sabha,Jammu and Kashmir,ANANTNAG-RAJOURI,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,521836,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,240042,1026148,281794,27.46,safe
18th Lok Sabha,Jammu and Kashmir,BARAMULLA,ABDUL RASHID SHEIKH,Independent,472481,OMAR ABDULLAH,Jammu & Kashmir National Conference,268339,1033900,204142,19.74,safe
18th Lok Sabha,Jammu and Kashmir,JAMMU,JUGAL KISHORE,Bharatiya Janata Party,687588,RAMAN BHALLA,Indian National Congress,552090,1302176,135498,10.41,competitive
