tenure_label,tenure_id,house,state_id,state_name,constituency_id,constituency_name,mp_id,mp_name,allocated_cr,recommended_cr,sanctioned_cr,completed_cr,expenditure_cr,calamity_cr,n_recommended,n_sanctioned,n_completed
18th Lok Sabha,7,Lok Sabha,35,Andaman And Nicobar Islands,1,ANDAMAN AND NICOBAR ISLANDS,3042276,BISHNU PADA RAY,14.7,6.5492,3.5233,0.0,0.9365,0.0,24,12,0
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,2,ANAKAPALLE,3042278,C.M.RAMESH,17.8,5.6083,5.1093,1.4748,2.52,0.0,64,62,12
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,3,HINDUPUR,3042285,B K PARTHASARATHI,16.05,8.0521,7.9421,1.6381,3.49,0.0,90,88,34
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,4,VIJAYAWADA,3042292,Sivanath Kesineni,14.7,3.6922,3.5622,0.329,0.329,0.0,10,9,1
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,5,NANDYAL,3043545,DR BYREDDY SHABARI,15.07,9.4491,7.7005,3.1285,3.27,0.0,189,155,69
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,7,AMALAPURAM(SC),3042277,GM Harish Balayogi,14.7,9.7219,9.6224,1.8124,4.44,0.0,108,106,11
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,8,BAPATLA,3042281,Krishna Prasad Tenneti,16.78,10.4422,8.9223,0.0382,0.613,0.1,134,106,1
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,9,ARAKU(ST),3042280,Gumma Thanuja Rani,14.95,9.01,8.27,0.0487,5.8,0.0,116,107,1
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,10,NELLORE(SC),3042290,PRABHAKAR REDDY VEMIREDDY,14.7,9.7884,9.7884,5.1708,6.53,0.0,155,155,96
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,11,TIRUPATI(SC),3042291,GURUMOORTHY MADDILA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
