state_name,constituency_name,mp_id,mp_name,total_works,works_recommended,works_sanctioned,works_completed,total_recommended_amount,total_actual_amount,unique_categories,categories_list,completion_rate,sanction_rate,constituency_clean,State_Name,Constituency_Name,Constituency_Type,Candidate,Sex,Party,Votes,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Party_Type_TCPD,No_Terms,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,state_clean,margin_category,party_category,alliance_2019
Assam,SILCHAR,3042304,PARIMAL SUKLABAIDYA,0,85,23,1,63100000.0,0.0,1,Normal/Others,0.043478260869565216,0.27058823529411763,SILCHAR,Assam,SILCHAR,GEN,RAJDEEP ROY,M,BJP,499414.0,949696.0,1195720.0,79.42,52.59,81596.0,8.59,2.13,National Party,1.0,False,False,Post Graduate,Liberal Profession or Professional,ASSAM,Close (5-10%),National,NDA
Assam,Sonitpur,3042305,RANJIT DUTTA,12,126,109,13,194434436.0,10722515.0,2,Normal/Others|Repair and Renovation,0.11926605504587157,0.8650793650793651,SONITPUR,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,ARARIA,3018355,Pradeep Kumar Singh,39,41,41,40,191990854.0,94498127.0,2,Normal/Others|Repair and Renovation,0.975609756097561,1.0,ARARIA,Bihar,ARARIA,GEN,PRADEEP KUMAR SINGH,M,BJP,618434.0,1169630.0,1805439.0,64.78,52.87,137241.0,11.73,2.22,National Party,2.0,False,True,10th Pass,Business,BIHAR,Safe (10-20%),National,NDA
Bihar,ARRAH,3042306,SUDAMA PRASAD,63,117,95,64,155112344.0,42233044.0,2,Normal/Others|Repair and Renovation,0.6736842105263158,0.811965811965812,ARRAH,Bihar,ARRAH,GEN,R. K. Singh,M,BJP,566480.0,1080684.0,2089353.0,51.72,52.42,147285.0,13.63,2.38,National Party,2.0,True,True,Graduate Professional,Politics,BIHAR,Safe (10-20%),National,NDA
Bihar,AURANGABAD_BR,3042307,ABHAY KUMAR SINHA,123,233,172,124,205515024.0,54909312.0,1,Normal/Others,0.7209302325581395,0.7381974248927039,AURANGABAD BR,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,BANKA,3018966,Giridhari Yadav,80,91,89,81,199695708.0,90000605.0,1,Normal/Others,0.9101123595505618,0.978021978021978,BANKA,Bihar,BANKA,GEN,GIRIDHARI YADAV,M,JD(U),477788.0,995806.0,1699394.0,58.6,47.98,200532.0,20.14,3.12,State-based Party,3.0,False,False,Post Graduate,Business,BIHAR,Very Safe (>20%),Regional,Other
Bihar,BEGUSARAI,3018967,Giriraj Singh,16,68,34,17,133774306.0,20504450.0,1,Normal/Others,0.5,0.5,BEGUSARAI,Bihar,BEGUSARAI,GEN,Giriraj Singh,M,BJP,692193.0,1225594.0,1958382.0,62.58,56.48,422217.0,34.45,2.5,National Party,2.0,True,True,Graduate,Social Work,BIHAR,Very Safe (>20%),National,NDA
Bihar,BHAGALPUR,3018351,Ajay Kumar Mandal,35,75,74,36,164002224.0,35874337.0,1,Normal/Others,0.4864864864864865,0.9866666666666667,BHAGALPUR,Bihar,BHAGALPUR,GEN,AJAY KUMAR MANDAL,M,JD(U),618254.0,1042518.0,1823820.0,57.16,59.3,277630.0,26.63,2.17,State-based Party,1.0,False,False,8th Pass,Politics,BIHAR,Very Safe (>20%),Regional,Other
Bihar,BUXAR,3042308,SUDHAKAR SINGH,98,181,121,99,280413988.0,97184694.0,2,Normal/Others|Repair and Renovation,0.8181818181818182,0.6685082872928176,BUXAR,Bihar,BUXAR,GEN,Ashwini Kumar Choubey,M,BJP,473053.0,986861.0,1829373.0,53.95,47.94,117609.0,11.92,2.7,National Party,2.0,True,True,Graduate,Politics,BIHAR,Safe (10-20%),National,NDA
Bihar,DARBHANGA,3018961,Mr Gopal Jee Thakur,52,89,69,53,77136536.0,24936568.0,2,Normal/Others|Repair and Renovation,0.7681159420289855,0.7752808988764045,DARBHANGA,Bihar,DARBHANGA,GEN,Gopal Jee Thakur,M,BJP,586668.0,964996.0,1654811.0,58.31,60.79,267979.0,27.77,2.08,National Party,1.0,False,False,Post Graduate,Politics,BIHAR,Very Safe (>20%),National,NDA
Bihar,GAYA (SC),3042309,JITAN RAM MANJHI,113,261,246,114,183667510.0,30231183.0,1,Normal/Others,0.4634146341463415,0.9425287356321839,GAYA,Bihar,GAYA (SC),SC,Vijay Kumar,M,JD(U),467007.0,957248.0,1704596.0,56.16,48.79,152426.0,15.92,2.86,State-based Party,1.0,False,False,12th Pass,Business,BIHAR,Safe (10-20%),Regional,Other
Bihar,GOPALGANJ (SC),3018350,Alok Kumar Suman,18,86,68,19,139139492.0,18503455.0,2,Normal/Others|Repair and Renovation,0.27941176470588236,0.7906976744186046,GOPALGANJ,Bihar,GOPALGANJ (SC),SC,DR. ALOK KUMAR SUMAN,M,JD(U),568150.0,1024876.0,1839514.0,55.71,55.44,286434.0,27.95,2.56,State-based Party,1.0,False,False,Post Graduate,Liberal Profession or Professional,BIHAR,Very Safe (>20%),Regional,Other
Bihar,HAJIPUR(SC),3042310,CHIRAG PASWAN,42,91,80,43,162949870.0,39875235.0,2,Normal/Others|Repair and Renovation,0.5375,0.8791208791208791,HAJIPUR,Bihar,HAJIPUR (SC),SC,PASHU PATI KUMAR PARAS,M,LJP,541310.0,1006817.0,1823664.0,55.21,53.76,205449.0,20.41,2.5,State-based Party,1.0,False,False,Graduate Professional,Politics,BIHAR,Very Safe (>20%),Regional,Other
Bihar,JAHANABAD,3043221,SURENDRA PRASAD YADAV,118,285,242,119,177043474.0,30282337.0,2,Normal/Others|Repair and Renovation,0.49173553719008267,0.8491228070175438,JAHANABAD,Bihar,JAHANABAD,GEN,CHANDESHWAR PRASAD,M,JD(U),335584.0,822065.0,1588454.0,51.75,40.82,1751.0,0.21,3.03,State-based Party,1.0,False,False,10th Pass,Social Work,BIHAR,Very Close (<5%),Regional,Other
Bihar,JAMUI(SC),3042311,ARUN BHARTI,196,276,268,197,247361512.0,109353120.0,1,Normal/Others,0.7350746268656716,0.9710144927536232,JAMUI,Bihar,JAMUI (SC),SC,CHIRAG KUMAR PASWAN,M,LJP,529134.0,949137.0,1718814.0,55.22,55.75,241049.0,25.4,2.5,State-based Party,2.0,True,True,Graduate Professional,Politics,BIHAR,Very Safe (>20%),Regional,Other
Bihar,JHANJHARPUR,3018360,Ramprit Mandal,87,171,93,88,240499486.0,91202438.0,1,Normal/Others,0.946236559139785,0.543859649122807,JHANJHARPUR,Bihar,JHANJHARPUR,GEN,Ramprit Mandal,M,JD(U),602391.0,1060562.0,1852417.0,57.25,56.8,322951.0,30.45,2.56,State-based Party,1.0,False,False,10th Pass,Business,BIHAR,Very Safe (>20%),Regional,Other
Bihar,KARAKAT,3042312,RAJA RAM SINGH,110,236,215,111,188842656.0,46370408.0,2,Normal/Others|Repair and Renovation,0.5162790697674419,0.9110169491525424,KARAKAT,Bihar,KARAKAT,GEN,MAHABALI SINGH,M,JD(U),398408.0,868798.0,1771254.0,49.05,45.86,84542.0,9.73,2.94,State-based Party,2.0,False,True,8th Pass,Agriculture,BIHAR,Close (5-10%),Regional,Other
Bihar,KATIHAR,3042313,TARIQ ANWAR,48,87,85,49,165630120.0,46925060.0,1,Normal/Others,0.5764705882352941,0.9770114942528736,KATIHAR,Bihar,KATIHAR,GEN,DULAL CHANDRA GOSWAMI,M,JD(U),559423.0,1117734.0,1653353.0,67.6,50.05,57203.0,5.12,2.22,State-based Party,1.0,False,False,Graduate,Agriculture,BIHAR,Close (5-10%),Regional,Other
Bihar,KHAGARIA,3042314,RAJESH VERMA,67,77,77,68,163710996.0,72871598.0,2,Normal/Others|Repair and Renovation,0.8831168831168831,1.0,KHAGARIA,Bihar,KHAGARIA,GEN,Choudhary Mehboob Ali Kaiser,M,LJP,510193.0,966813.0,1676454.0,57.67,52.77,248570.0,25.71,2.86,State-based Party,2.0,True,True,Graduate,Agriculture,BIHAR,Very Safe (>20%),Regional,Other
Bihar,KISHANGANJ,3017384,Dr Mohammad Jawed,116,184,177,117,232071400.0,74985400.0,1,Normal/Others,0.6610169491525424,0.9619565217391305,KISHANGANJ,Bihar,KISHANGANJ,GEN,Dr. Mohammad Jawed,M,INC,367017.0,1101603.0,1659651.0,66.38,33.32,34466.0,3.13,3.7,National Party,1.0,False,False,Graduate Professional,Business,BIHAR,Very Close (<5%),National,UPA
Bihar,MADHEPURA,3018975,Dinesh Chandra Yadav,105,123,115,106,195376462.0,87211021.0,2,Normal/Others|Repair and Renovation,0.9217391304347826,0.9349593495934959,MADHEPURA,Bihar,MADHEPURA,GEN,Dinesh Chandra Yadav,M,JD(U),624334.0,1147274.0,1884883.0,60.87,54.42,301527.0,26.28,2.56,State-based Party,4.0,False,True,Graduate Professional,Retired or Pension,BIHAR,Very Safe (>20%),Regional,Other
Bihar,MADHUBANI,3018353,Ashok Kumar Yadav,77,172,83,78,140277918.0,45168959.0,2,Normal/Others|Repair and Renovation,0.9397590361445783,0.48255813953488375,MADHUBANI,Bihar,MADHUBANI,GEN,ASHOK KUMAR YADAV,M,BJP,595843.0,963708.0,1792798.0,53.75,61.83,454940.0,47.21,2.38,National Party,1.0,False,False,Doctorate,Retired or Pension,BIHAR,Very Safe (>20%),National,NDA
Bihar,MAHARAJGANJ_BR,3017381,Shri Janardan Singh Sigriwal,15,66,57,16,137921126.0,18656110.0,1,Normal/Others,0.2807017543859649,0.8636363636363636,MAHARAJGANJ BR,,,,,,,,,,,,,,,,,,,,,,,,
