state_name,constituency_name,mp_id,mp_name,total_works,works_recommended,works_sanctioned,works_completed,total_recommended_amount,total_actual_amount,unique_categories,categories_list,completion_rate,sanction_rate,constituency_clean,State_Name,Constituency_Name,Constituency_Type,Candidate,Sex,Party,Votes,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Party_Type_TCPD,No_Terms,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,state_clean,margin_category,party_category,alliance_2019
Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,3042276,BISHNU PADA RAY,0,25,13,1,100724422.0,0.0,3,Repair and Renovation|Normal/Others|Trust and Society,0.07692307692307693,0.52,ANDAMAN AND NICOBAR ISLANDS,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,GEN,KULDEEP RAI SHARMA,M,INC,95308.0,207296.0,318471.0,65.09,45.98,1407.0,0.68,2.38,National Party,1.0,False,True,Graduate Professional,Business,ANDAMAN & NICOBAR ISLANDS,Very Close (<5%),National,UPA
Andhra Pradesh,AMALAPURAM(SC),3042277,GM Harish Balayogi,11,109,107,12,193442558.0,18123779.0,2,Normal/Others|Repair and Renovation,0.11214953271028037,0.981651376146789,AMALAPURAM,Andhra_Pradesh,AMALAPURAM,SC,CHINTA ANURADHA,F,YSRCP,485958.0,1232895.0,1459556.0,84.47,39.42,39795.0,3.23,3.03,State-based Party,1.0,False,False,Graduate,Other,ANDHRA PRADESH,Very Close (<5%),Regional,Other
Andhra Pradesh,ANAKAPALLE,3042278,C.M.RAMESH,12,65,63,13,107175844.0,14747922.0,2,Normal/Others|Repair and Renovation,0.20634920634920634,0.9692307692307692,ANAKAPALLE,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,ANANTAPUR,3042279,AMBICA G LAKSHMINARAYANA VALMIKI,25,140,115,26,209160362.0,18930181.0,2,Normal/Others|Repair and Renovation,0.22608695652173913,0.8214285714285714,ANANTAPUR,Andhra_Pradesh,ANANTAPUR,GEN,TALARI RANGAIAH,M,YSRCP,695208.0,1342306.0,1664160.0,80.66,51.79,141428.0,10.54,2.27,State-based Party,1.0,False,False,Doctorate,Former Government,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,ARAKU(ST),3042280,Gumma Thanuja Rani,1,124,108,2,178300430.0,486815.0,2,Normal/Others|Repair and Renovation,0.018518518518518517,0.8709677419354839,ARAKU,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,BAPATLA,3042281,Krishna Prasad Tenneti,1,135,107,2,193645000.0,382500.0,2,Normal/Others|Trust and Society,0.018691588785046728,0.7925925925925926,BAPATLA,Andhra_Pradesh,BAPATLA,SC,NANDIGAM SURESH,M,YSRCP,598257.0,1266492.0,1468671.0,86.23,47.24,16065.0,1.27,2.33,State-based Party,1.0,False,False,8th Pass,Small Business or Self-employed,ANDHRA PRADESH,Very Close (<5%),Regional,Other
Andhra Pradesh,CHITTOOR,3042282,DAGGUMALLA PRASADA RAO,7,145,143,8,193322060.0,2996030.0,1,Normal/Others,0.055944055944055944,0.9862068965517241,CHITTOOR,Andhra_Pradesh,CHITTOOR,SC,N. REDDEPPA,M,YSRCP,686792.0,1319472.0,1566499.0,84.23,52.05,137271.0,10.4,2.27,State-based Party,1.0,False,False,Post Graduate,Liberal Profession or Professional,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,ELURU,3042283,Putta Mahesh Kumar,2,103,93,3,181769784.0,1881092.0,2,Normal/Others|Repair and Renovation,0.03225806451612903,0.9029126213592233,ELURU,Andhra_Pradesh,ELURU,GEN,KOTAGIRI SRIDHAR,M,YSRCP,676809.0,1327923.0,1594950.0,83.26,50.97,165925.0,12.5,2.44,State-based Party,1.0,False,False,Graduate,Business,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,GUNTUR,3042284,Dr Chandra Sekhar Pemmasani,9,97,84,10,174703692.0,11590846.0,1,Normal/Others,0.11904761904761904,0.865979381443299,GUNTUR,Andhra_Pradesh,GUNTUR,GEN,Jayadev Galla,M,TDP,587918.0,1351474.0,1706119.0,79.21,43.5,4205.0,0.31,2.56,State-based Party,2.0,True,True,Graduate,Business,ANDHRA PRADESH,Very Close (<5%),Regional,NDA
Andhra Pradesh,HINDUPUR,3042285,B K PARTHASARATHI,34,91,89,35,159942442.0,16381221.0,2,Normal/Others|Repair and Renovation,0.39325842696629215,0.978021978021978,HINDUPUR,Andhra_Pradesh,HINDUPUR,GEN,KURUVA GORANTLA MADHAV,M,YSRCP,706602.0,1338514.0,1578218.0,84.81,52.79,140748.0,10.52,2.17,State-based Party,1.0,False,False,Graduate,Social Work,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,KADAPA,3018943,Y S Avinash Reddy,29,293,162,30,187267516.0,18230517.0,1,Normal/Others,0.18518518518518517,0.552901023890785,KADAPA,Andhra_Pradesh,KADAPA,GEN,Y.S.Avinash Reddy,M,YSRCP,783499.0,1228242.0,1570330.0,78.22,63.79,380726.0,31.0,1.92,State-based Party,2.0,True,True,Post Graduate,Agriculture,ANDHRA PRADESH,Very Safe (>20%),Regional,Other
Andhra Pradesh,KAKINADA,3042286,TANGELLA UDAY SRINIVAS,3,20,18,4,65799928.0,5249964.0,1,Normal/Others,0.2222222222222222,0.9,KAKINADA,Andhra_Pradesh,KAKINADA,GEN,VANGA GEETHAVISWANATH,F,YSRCP,537630.0,1234655.0,1563930.0,78.95,43.54,25738.0,2.08,2.7,State-based Party,1.0,False,False,Post Graduate,Business,ANDHRA PRADESH,Very Close (<5%),Regional,Other
Andhra Pradesh,KURNOOL,3042287,BASTIPATI NAGARAJU PANCHALINGALA,143,159,154,144,110568150.0,43534075.0,2,Normal/Others|Repair and Renovation,0.935064935064935,0.9685534591194969,KURNOOL,Andhra_Pradesh,KURNOOL,GEN,AYUSHMAN DOCTOR SANJEEV KUMAR,M,YSRCP,605462.0,1188327.0,1573009.0,75.54,50.95,149067.0,12.54,2.44,State-based Party,1.0,False,False,Post Graduate,Liberal Profession or Professional,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,MACHILIPATNAM,3018342,Balashowry Vallabbhaneni,7,50,42,8,66510524.0,2760262.0,2,Normal/Others|Repair and Renovation,0.19047619047619047,0.84,MACHILIPATNAM,Andhra_Pradesh,MACHILIPATNAM,GEN,BALASHOWRY VALLABHANENI,M,YSRCP,572850.0,1244570.0,1473347.0,84.47,46.03,60238.0,4.84,2.56,State-based Party,2.0,False,True,Post Graduate,Business,ANDHRA PRADESH,Very Close (<5%),Regional,Other
Andhra Pradesh,NANDYAL,3043545,DR BYREDDY SHABARI,69,190,167,70,176485020.0,31284510.0,2,Normal/Others|Repair and Renovation,0.41916167664670656,0.8789473684210526,NANDYAL,Andhra_Pradesh,NANDYAL,GEN,POCHA . BRAHMANANDA REDDY,M,YSRCP,720888.0,1299093.0,1603220.0,81.03,55.49,250119.0,19.25,2.27,State-based Party,1.0,False,False,Post Graduate,Business,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,NARASAPURAM,3042288,Bhupathiraju Srinivasa varma,0,2,2,1,24000000.0,0.0,1,Normal/Others,0.5,1.0,NARASAPURAM,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,NARASARAOPET,3018945,Lavu Sri Krishna Devarayalu,1,44,44,2,29476456.0,1599870.0,1,Normal/Others,0.045454545454545456,1.0,NARASARAOPET,Andhra_Pradesh,NARASARAOPET,GEN,LAVU SRI KRISHNA DEVARAYALU,M,YSRCP,745557.0,1437420.0,1670391.0,86.05,51.87,154002.0,10.71,2.27,State-based Party,1.0,False,False,Graduate Professional,Education,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,NARASARAOPET,3042289,Lavu Srikrisha Devarayalu,0,1,1,1,0.0,0.0,0,,1.0,1.0,NARASARAOPET,Andhra_Pradesh,NARASARAOPET,GEN,LAVU SRI KRISHNA DEVARAYALU,M,YSRCP,745557.0,1437420.0,1670391.0,86.05,51.87,154002.0,10.71,2.27,State-based Party,1.0,False,False,Graduate Professional,Education,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,NELLORE(SC),3042290,PRABHAKAR REDDY VEMIREDDY,96,156,156,97,195767678.0,51707839.0,2,Normal/Others|Repair and Renovation,0.6217948717948718,1.0,NELLORE,Andhra_Pradesh,NELLORE,GEN,Adala Prabhakara Reddy,M,YSRCP,683830.0,1287036.0,1672845.0,76.94,53.13,148571.0,11.54,2.22,State-based Party,1.0,False,True,12th Pass,Business,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,ONGOLE,3018340,Magunta Sreenivasulu Reddy,0,20,19,1,44270800.0,0.0,1,Normal/Others,0.05263157894736842,0.95,ONGOLE,Andhra_Pradesh,ONGOLE,GEN,MAGUNTA SREENIVASULU REDDY,M,YSRCP,739202.0,1342368.0,1556469.0,86.24,55.07,214851.0,16.01,2.22,State-based Party,4.0,False,True,Graduate,Business,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,RAJAHMUNDRY,3043486,Daggubati Purandeshwari,0,30,28,1,178000000.0,0.0,3,Normal/Others|Repair and Renovation|Trust and Society,0.03571428571428571,0.9333333333333333,RAJAHMUNDRY,Andhra_Pradesh,RAJAHMUNDRY,GEN,MARGANI BHARAT,M,YSRCP,582024.0,1250427.0,1534256.0,81.5,46.55,121634.0,9.73,2.63,State-based Party,1.0,False,False,Graduate,Business,ANDHRA PRADESH,Close (5-10%),Regional,Other
Andhra Pradesh,RAJAMPET,3018941,Midhun Reddy,37,385,358,38,245274208.0,9458604.0,2,Normal/Others|Repair and Renovation,0.10614525139664804,0.9298701298701298,RAJAMPET,Andhra_Pradesh,RAJAMPET,GEN,P.V.MIDHUN REDDY,M,YSRCP,702211.0,1224354.0,1546938.0,79.15,57.35,268284.0,21.91,2.17,State-based Party,2.0,True,True,Post Graduate,Politics,ANDHRA PRADESH,Very Safe (>20%),Regional,Other
Andhra Pradesh,SRIKAKULAM,3018939,Kinjarapu Ram Mohan Naidu,51,181,181,52,241448150.0,27773075.0,1,Normal/Others,0.287292817679558,1.0,SRIKAKULAM,Andhra_Pradesh,SRIKAKULAM,GEN,KINJARAPU RAM MOHAN NAIDU,M,TDP,534544.0,1157329.0,1553860.0,74.48,46.19,6653.0,0.57,2.38,State-based Party,1.0,False,False,Post Graduate,Politics,ANDHRA PRADESH,Very Close (<5%),Regional,NDA
Andhra Pradesh,TIRUPATI(SC),3018946,Maddila Gurumoorthy,70,233,0,71,95121928.0,33855928.0,2,Normal/Others|Repair and Renovation,,0.0,TIRUPATI,Andhra_Pradesh,TIRUPATI,SC,Balli Durga Prasad Rao,M,YSRCP,722877.0,1313515.0,1650453.0,79.59,55.03,228376.0,17.39,2.27,State-based Party,1.0,False,False,Graduate Professional,Agriculture,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,TIRUPATI(SC),3042291,GURUMOORTHY MADDILA,0,1,1,1,0.0,0.0,0,,1.0,1.0,TIRUPATI,Andhra_Pradesh,TIRUPATI,SC,Balli Durga Prasad Rao,M,YSRCP,722877.0,1313515.0,1650453.0,79.59,55.03,228376.0,17.39,2.27,State-based Party,1.0,False,False,Graduate Professional,Agriculture,ANDHRA PRADESH,Safe (10-20%),Regional,Other
Andhra Pradesh,VIJAYAWADA,3042292,Sivanath Kesineni,1,11,10,2,72544064.0,3290032.0,2,Normal/Others|Repair and Renovation,0.2,0.9090909090909091,VIJAYAWADA,Andhra_Pradesh,VIJAYAWADA,GEN,KESINENI SRINIVAS (NANI),M,TDP,575498.0,1277711.0,1652994.0,77.3,45.04,8726.0,0.68,2.5,State-based Party,2.0,True,True,10th Pass,Business,ANDHRA PRADESH,Very Close (<5%),Regional,NDA
Andhra Pradesh,VISAKHAPATNAM,3042293,Sribharat MathuKumli,0,37,34,1,142330000.0,0.0,2,Normal/Others|Repair and Renovation,0.029411764705882353,0.918918918918919,VISAKHAPATNAM,Andhra_Pradesh,VISAKHAPATNAM,GEN,M V V SATYANARAYANA,M,YSRCP,436906.0,1239754.0,1829300.0,67.77,35.24,4414.0,0.36,3.45,State-based Party,1.0,False,False,10th Pass,Business,ANDHRA PRADESH,Very Close (<5%),Regional,Other
Andhra Pradesh,VIZIANAGARAM,3042294,Appalanaidu Kalisetti,27,92,91,28,97686264.0,10346453.0,2,Normal/Others|Repair and Renovation,0.3076923076923077,0.9891304347826086,VIZIANAGARAM,Andhra_Pradesh,VIZIANAGARAM,GEN,Bellana Chandra Sekhar,M,YSRCP,578418.0,1217890.0,1503980.0,80.98,47.49,48036.0,3.94,2.38,State-based Party,1.0,False,False,Graduate Professional,Business,ANDHRA PRADESH,Very Close (<5%),Regional,Other
Arunachal Pradesh,ARUNACHAL EAST,3017378,Shri Tapir Gao,46,112,112,47,195186704.0,41893352.0,2,Normal/Others|Repair and Renovation,0.41964285714285715,1.0,ARUNACHAL EAST,Arunachal_Pradesh,ARUNACHAL EAST,GEN,Tapir Gao,M,BJP,153883.0,293781.0,339788.0,86.46,52.38,69948.0,23.81,2.78,National Party,2.0,False,True,Post Graduate,Politics,ARUNACHAL PRADESH,Very Safe (>20%),National,NDA
Arunachal Pradesh,ARUNACHAL WEST,3018950,Kiren Rijiju,44,132,127,45,181860576.0,28030288.0,2,Normal/Others|Repair and Renovation,0.3543307086614173,0.9621212121212122,ARUNACHAL WEST,Arunachal_Pradesh,ARUNACHAL WEST,GEN,KIREN RIJIJU,M,BJP,225796.0,358310.0,463775.0,77.26,63.02,174843.0,48.8,2.22,National Party,3.0,True,True,Graduate Professional,Social Work,ARUNACHAL PRADESH,Very Safe (>20%),National,NDA
Assam,BARPETA,3042295,PHANI BHUSAN CHOUDHURY,1,90,53,2,146286000.0,1000000.0,2,Normal/Others|Repair and Renovation,0.03773584905660377,0.5888888888888889,BARPETA,Assam,BARPETA,GEN,Abdul Khaleque,M,INC,645173.0,1458549.0,1685149.0,86.55,44.23,140307.0,9.62,2.86,National Party,1.0,False,False,Post Graduate,Politics,ASSAM,Close (5-10%),National,UPA
Assam,DHUBRI,3042296,RAKIBUL HUSSAIN,22,149,116,23,132242858.0,9796429.0,2,Normal/Others|Repair and Renovation,0.19827586206896552,0.7785234899328859,DHUBRI,Assam,DHUBRI,GEN,BADRUDDIN AJMAL,M,AIUDF,718764.0,1685005.0,1858566.0,90.66,42.66,226258.0,13.43,3.03,State-based Party,3.0,True,True,Post Graduate,Business,ASSAM,Safe (10-20%),Regional,Other
Assam,DIBRUGARH,3042297,Shri Sarbananda Sonowal (18LS),3,88,37,4,126585546.0,2842773.0,1,Normal/Others,0.10810810810810811,0.42045454545454547,DIBRUGARH,Assam,DIBRUGARH,GEN,RAMESWAR TELI,M,BJP,659583.0,1015748.0,1314319.0,77.28,64.94,364566.0,35.89,2.0,National Party,2.0,True,True,10th Pass,Politics,ASSAM,Very Safe (>20%),National,NDA
Assam,Darrang-Udalguri,3018955,Dilip Saikia,0,231,130,1,114950000.0,0.0,2,Normal/Others|Repair and Renovation,0.007692307692307693,0.5627705627705628,DARRANG UDALGURI,,,,,,,,,,,,,,,,,,,,,,,,
Assam,Diphu (ST),3042298,AMARSING TISSO,4,94,79,5,168767484.0,2783742.0,2,Normal/Others|Repair and Renovation,0.06329113924050633,0.8404255319148937,DIPHU,,,,,,,,,,,,,,,,,,,,,,,,
Assam,GUWAHATI,3042299,BIJULI KALITA MEDHI,5,119,85,6,176900000.0,6650000.0,2,Normal/Others|Repair and Renovation,0.07058823529411765,0.7142857142857143,GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,,
Assam,JORHAT,3042300,GAURAV GOGOI,18,453,327,19,169593252.0,4946626.0,2,Normal/Others|Repair and Renovation,0.0581039755351682,0.7218543046357616,JORHAT,Assam,JORHAT,GEN,TOPON KUMAR GOGOI,M,BJP,543288.0,1057965.0,1365035.0,77.5,51.35,82653.0,7.81,2.22,National Party,1.0,False,False,Post Graduate,Business,ASSAM,Close (5-10%),National,NDA
Assam,KARIMGANJ (SC),3018957,Kripanath Mallah,0,59,35,1,157970000.0,0.0,1,Normal/Others,0.02857142857142857,0.5932203389830508,KARIMGANJ,Assam,KARIMGANJ,SC,KRIPANATH MALLAH,M,BJP,473046.0,1060072.0,1340173.0,79.1,44.62,38389.0,3.62,2.63,National Party,1.0,False,False,Graduate,Social Work,ASSAM,Very Close (<5%),National,NDA
Assam,KOKRAJHAR (ST),3042302,JOYANTA BASUMATARY,19,85,68,20,168079620.0,19709810.0,2,Normal/Others|Repair and Renovation,0.29411764705882354,0.8,KOKRAJHAR,Assam,KOKRAJHAR,ST,Naba Kumar Sarania,M,IND,484560.0,1479485.0,1776358.0,83.29,32.75,37786.0,2.55,4.0,Independents,2.0,True,True,12th Pass,Other,ASSAM,Very Close (<5%),Independent,Other
Assam,Kaziranga,3042301,KAMAKHYA PRASAD TASA,0,88,58,1,142288000.0,0.0,2,Normal/Others|Repair and Renovation,0.017241379310344827,0.6590909090909091,KAZIRANGA,,,,,,,,,,,,,,,,,,,,,,,,
Assam,LAKHIMPUR,3018347,Pradan Baruah,0,143,106,1,136800000.0,0.0,2,Normal/Others|Repair and Renovation,0.009433962264150943,0.7412587412587412,LAKHIMPUR,Assam,LAKHIMPUR,GEN,PRADAN BARUAH,M,BJP,776406.0,1283589.0,1708013.0,75.15,60.49,350551.0,27.31,2.08,National Party,2.0,True,True,12th Pass,Agriculture,ASSAM,Very Safe (>20%),National,NDA
Assam,NOWGONG,3018958,Pradyut Bordoloi,2,217,158,3,174090000.0,676000.0,2,Normal/Others|Repair and Renovation,0.0189873417721519,0.728110599078341,NOWGONG,Assam,NOWGONG,GEN,Pradyut Bordoloi,M,INC,739724.0,1493475.0,1794648.0,83.22,49.53,16752.0,1.12,2.08,National Party,1.0,False,False,Post Graduate,Retired or Pension,ASSAM,Very Close (<5%),National,UPA
