tenure_label,house,state_id,state_name,mp_id,mp_name,mp_tenure,allocated_cr,recommended_cr,sanctioned_cr,completed_cr,expenditure_cr,calamity_cr,n_recommended,n_sanctioned,n_completed
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017190,Shri Subhas Chandra Bose Pilli,2020-26,19.61,19.5962,19.3512,6.3672,13.39,0.0,225,218,91
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017191,Shri Parimal Nathwani,2020-26,20.54,19.4535,19.2085,14.0085,14.67,0.0,22,21,12
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017192,Shri Ayodhya Rami Reddy Alla,2020-26,17.16,12.4099,9.9499,3.3939,5.82,0.0,112,95,37
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3017196,Shri S Niranjan Reddy,2022-28,22.46,5.2502,3.7502,0.3665,2.36,0.0,16,13,2
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3019255,Shri V. Vijayendra Prasad,2022-28,19.61,14.4938,13.2938,2.2988,7.54,0.0,164,149,46
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3043037,Shri Golla Baburao,2024-30,14.7,2.9018,2.1018,0.0498,0.9009,0.0,33,29,1
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3043337,Shri Meda Raghunadha Reddy,2024-30,14.7,9.7183,9.7183,4.8339,6.7,0.0,163,163,86
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3044299,Shri Yerram Venkata Subba Reddy,2024-30,14.7,9.2596,7.3521,0.9536,1.84,0.0,126,115,28
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3050535,Shri Sana Sathish Babu,2024-26,7.35,7.3436,7.3436,0.9936,0.9936,0.0,8,8,2
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3050536,Shri Ryaga Krishnaiah,2024-28,17.04,11.3667,9.7117,2.8277,4.28,0.0,58,50,18
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3050537,Shri Masthan Rao Yadav Beedha,2024-28,17.13,12.1549,11.0149,1.4694,2.16,0.0,90,87,20
Rajya Sabha,Rajya Sabha,2,Andhra Pradesh,3056236,Shri Paka Venkata Satyanarayana,2025-28,9.8,2.588,1.388,0.0,0.1599,0.0,9,5,0
Rajya Sabha,Rajya Sabha,3,Arunachal Pradesh,3019245,Shri Nabam Rebia,2020-26,14.71,14.6863,14.5863,12.96,14.58,0.0,99,98,84
Rajya Sabha,Rajya Sabha,5,Assam,3017222,Shri Pabitra Margherita,2022-28,22.06,16.9218,10.5618,0.1998,5.28,0.0,209,93,2
Rajya Sabha,Rajya Sabha,5,Assam,3017224,Shri Birendra Prasad Baishya,2025-31,9.8,4.9,2.53,0.0,2.07,0.0,33,13,0
Rajya Sabha,Rajya Sabha,5,Assam,3019246,Shri Rwngwra Narzary,2022-28,22.06,17.1485,12.2185,1.1685,9.34,0.0,144,104,12
Rajya Sabha,Rajya Sabha,5,Assam,3056512,Shri Kanad Purkayastha,2025-31,9.8,4.9,3.0,0.0,1.59,0.0,37,22,0
Rajya Sabha,Rajya Sabha,6,Bihar,3017167,Shri Shambhu Sharan Patel,2022-28,23.72,19.7304,17.9564,15.7544,15.75,0.0,246,223,199
Rajya Sabha,Rajya Sabha,6,Bihar,3017197,Dr. Faiyaz Ahmad,2022-28,23.53,22.4039,17.3842,14.2664,15.61,0.0,189,151,127
Rajya Sabha,Rajya Sabha,6,Bihar,3017198,Prof. Manoj Kumar Jha,2024-30,19.16,14.0762,9.4943,8.1955,8.72,0.0,161,113,107
Rajya Sabha,Rajya Sabha,6,Bihar,3017200,Shri Akhilesh Prasad Singh,2024-30,18.62,6.6369,6.5039,4.5742,4.99,0.0,51,49,35
Rajya Sabha,Rajya Sabha,6,Bihar,3017208,Shri Satish Chandra Dubey,2022-28,23.53,18.5741,17.4695,12.4082,13.1,0.0,220,211,156
Rajya Sabha,Rajya Sabha,6,Bihar,3017209,Shri Khiru Mahto,2022-28,23.58,18.5914,18.5914,16.9582,18.25,0.0,177,177,163
