tenure_label,tenure_id,house,state_id,state_name,constituency_id,constituency_name,mp_id,mp_name,allocated,recommended,sanctioned,completed,expenditure_cr,calamity_cr,n_recommended,n_sanctioned,n_completed,tenure,margin_pct,winner_party,competitiveness,rec_pct,sanc_pct,comp_pct,sanc_yield,comp_yield
18th Lok Sabha,7,Lok Sabha,35,Andaman And Nicobar Islands,1,ANDAMAN AND NICOBAR ISLANDS,3042276,BISHNU PADA RAY,14.7,6.5492,3.5233,0.0,0.9365,0.0,24,12,0,18th Lok Sabha,12.05,Bharatiya Janata Party,competitive,44.55238095238095,23.968027210884355,0.0,53.7974103707323,0.0
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,2,ANAKAPALLE,3042278,C.M.RAMESH,17.8,5.6083,5.1093,1.4748,2.52,0.0,64,62,12,18th Lok Sabha,22.37,Bharatiya Janata Party,safe,31.507303370786513,28.703932584269662,8.285393258426968,91.10247312019685,28.865010862544775
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,3,HINDUPUR,3042285,B K PARTHASARATHI,16.05,8.0521,7.9421,1.6381,3.49,0.0,90,88,34,18th Lok Sabha,9.35,Telugu Desam,competitive,50.16884735202491,49.48348909657321,10.206230529595015,98.63389674743236,20.625527253497186
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,4,VIJAYAWADA,3042292,Sivanath Kesineni,14.7,3.6922,3.5622,0.329,0.329,0.0,10,9,1,18th Lok Sabha,20.67,Telugu Desam,safe,25.117006802721093,24.23265306122449,2.238095238095238,96.4790639726992,9.235865476390995
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,5,NANDYAL,3043545,DR BYREDDY SHABARI,15.07,9.4491,7.7005,3.1285,3.27,0.0,189,155,69,18th Lok Sabha,7.97,Telugu Desam,competitive,62.70139349701393,51.09820836098208,20.759787657597872,81.49453387095068,40.62723199792221
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,7,AMALAPURAM(SC),3042277,GM Harish Balayogi,14.7,9.7219,9.6224,1.8124,4.44,0.0,108,106,11,18th Lok Sabha,26.3,Telugu Desam,safe,66.13537414965987,65.45850340136056,12.329251700680274,98.97653750810028,18.835217825074825
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,8,BAPATLA,3042281,Krishna Prasad Tenneti,16.78,10.4422,8.9223,0.0382,0.613,0.1,134,106,1,18th Lok Sabha,15.99,Telugu Desam,safe,62.2300357568534,53.17222884386174,0.2276519666269368,85.44463810308173,0.4281407260459747
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,9,ARAKU(ST),3042280,Gumma Thanuja Rani,14.95,9.01,8.27,0.0487,5.8,0.0,116,107,1,18th Lok Sabha,4.34,Yuvajana Sramika Rythu Congress Party,marginal,60.2675585284281,55.317725752508366,0.32575250836120406,91.78690344062153,0.5888754534461911
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,10,NELLORE(SC),3042290,PRABHAKAR REDDY VEMIREDDY,14.7,9.7884,9.7884,5.1708,6.53,0.0,155,155,96,18th Lok Sabha,17.88,Telugu Desam,safe,66.58775510204082,66.58775510204082,35.17551020408163,100.0,52.82579379673899
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,11,TIRUPATI(SC),3018946,Maddila Gurumoorthy,18.04,9.5122,9.5122,3.3856,5.21,0.0,232,232,70,18th Lok Sabha,1.05,Yuvajana Sramika Rythu Congress Party,marginal,52.728381374722844,52.728381374722844,18.76718403547672,100.0,35.5921868758016
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,12,ANANTAPUR,3042279,AMBICA G LAKSHMINARAYANA VALMIKI,14.7,11.528,9.388,1.893,4.46,0.0,139,114,25,18th Lok Sabha,13.09,Telugu Desam,competitive,78.421768707483,63.863945578231295,12.877551020408164,81.43650242886883,20.16403919897742
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,13,SRIKAKULAM,3018939,Kinjarapu Ram Mohan Naidu,17.12,12.0724,12.0724,2.7773,3.94,0.0,180,180,51,18th Lok Sabha,26.54,Telugu Desam,safe,70.51635514018692,70.51635514018692,16.22254672897196,100.0,23.00536761538716
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,14,ONGOLE,3018340,Magunta Sreenivasulu Reddy,14.7,2.2385,2.1885,0.0,0.7627,0.0,19,18,0,18th Lok Sabha,3.53,Telugu Desam,marginal,15.227891156462587,14.887755102040817,0.0,97.76636140272502,0.0
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,15,ELURU,3042283,Putta Mahesh Kumar,14.7,9.775,8.647,0.1881,3.38,0.0,107,92,2,18th Lok Sabha,13.16,Telugu Desam,competitive,66.49659863945578,58.823129251700685,1.279591836734694,88.46035805626599,2.1753209205504795
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,16,NARASAPURAM,3042288,Bhupathiraju Srinivasa varma,14.7,1.2,1.2,0.0,0.0,0.0,1,1,0,18th Lok Sabha,22.49,Bharatiya Janata Party,safe,8.16326530612245,8.16326530612245,0.0,100.0,0.0
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,17,RAJAHMUNDRY,3043486,Daggubati Purandeshwari,14.7,9.15,8.65,0.0,0.7411,0.0,29,27,0,18th Lok Sabha,18.04,Bharatiya Janata Party,safe,62.244897959183675,58.843537414965986,0.0,94.53551912568305,0.0
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,18,GUNTUR,3042284,Dr Chandra Sekhar Pemmasani,14.7,9.5102,7.9602,1.1591,1.8,0.0,96,83,9,18th Lok Sabha,24.18,Telugu Desam,safe,64.6952380952381,54.15102040816327,7.885034013605442,83.70170974322306,14.561191929851008
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,19,NARASARAOPET,3018945,Lavu Sri Krishna Devarayalu,17.4,1.4738,1.4738,0.16,0.2403,0.0,43,43,1,18th Lok Sabha,10.65,Telugu Desam,competitive,8.470114942528737,8.470114942528737,0.9195402298850576,100.0,10.85628986293934
18th Lok Sabha,7,Lok Sabha,2,Andhra Pradesh,20,VISAKHAPATNAM,3042293,Sribharat MathuKumli,14.7,7.3715,6.8615,0.0,0.1975,0.0,36,33,0,18th Lok Sabha,36.35,Telugu Desam,safe,50.14625850340136,46.67687074829933,0.0,93.08146238893035,0.0
