tenure_label,state_name,constituency_name,mp_id,mp_name,allocated_cr,completed_cr,recommended_cr,sanctioned_cr,recommendation_pct,sanction_pct,completion_pct,sanction_yield,unspent_cr
18th Lok Sabha,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,3042276,BISHNU PADA RAY,14.7,0.0,6.5492,3.5233,44.6,24.0,0.0,53.8,14.7
18th Lok Sabha,Andhra Pradesh,AMALAPURAM(SC),3042277,GM Harish Balayogi,14.7,1.8124,9.7219,9.6224,66.1,65.5,12.3,99.0,12.89
18th Lok Sabha,Andhra Pradesh,ANAKAPALLE,3042278,C.M.RAMESH,17.8032,1.4748,5.6083,5.1093,31.5,28.7,8.3,91.1,16.33
18th Lok Sabha,Andhra Pradesh,ANANTAPUR,3042279,AMBICA G LAKSHMINARAYANA VALMIKI,14.7,1.893,11.528,9.388,78.4,63.9,12.9,81.4,12.81
18th Lok Sabha,Andhra Pradesh,ARAKU(ST),3042280,Gumma Thanuja Rani,14.9459,0.0487,9.01,8.27,60.3,55.3,0.3,91.8,14.9
18th Lok Sabha,Andhra Pradesh,BAPATLA,3042281,Krishna Prasad Tenneti,16.7797,0.0382,10.4422,8.9223,62.2,53.2,0.2,85.4,16.74
18th Lok Sabha,Andhra Pradesh,CHITTOOR,3042282,DAGGUMALLA PRASADA RAO,14.7,0.2996,9.6986,9.6336,66.0,65.5,2.0,99.3,14.4
18th Lok Sabha,Andhra Pradesh,ELURU,3042283,Putta Mahesh Kumar,14.7,0.1881,9.775,8.647,66.5,58.8,1.3,88.5,14.51
18th Lok Sabha,Andhra Pradesh,GUNTUR,3042284,Dr Chandra Sekhar Pemmasani,14.7,1.1591,9.5102,7.9602,64.7,54.2,7.9,83.7,13.54
18th Lok Sabha,Andhra Pradesh,HINDUPUR,3042285,B K PARTHASARATHI,16.0492,1.6381,8.0521,7.9421,50.2,49.5,10.2,98.6,14.41
18th Lok Sabha,Andhra Pradesh,KADAPA,3018943,Y S Avinash Reddy,15.643,1.8231,11.8858,6.841,76.0,43.7,11.7,57.6,13.82
18th Lok Sabha,Andhra Pradesh,KAKINADA,3042286,TANGELLA UDAY SRINIVAS,14.7,0.525,3.915,2.665,26.6,18.1,3.6,68.1,14.18
18th Lok Sabha,Andhra Pradesh,KURNOOL,3042287,BASTIPATI NAGARAJU PANCHALINGALA,15.9999,4.3534,6.2034,4.8534,38.8,30.3,27.2,78.2,11.65
18th Lok Sabha,Andhra Pradesh,MACHILIPATNAM,3018342,Balashowry Vallabbhaneni,14.7,0.276,3.5126,3.1384,23.9,21.3,1.9,89.3,14.42
18th Lok Sabha,Andhra Pradesh,NANDYAL,3043545,DR BYREDDY SHABARI,15.0676,3.1285,9.4491,7.7005,62.7,51.1,20.8,81.5,11.94
18th Lok Sabha,Andhra Pradesh,NARASAPURAM,3042288,Bhupathiraju Srinivasa varma,14.7,0.0,1.2,1.2,8.2,8.2,0.0,100.0,14.7
18th Lok Sabha,Andhra Pradesh,NARASARAOPET,3018945,Lavu Sri Krishna Devarayalu,17.401,0.16,1.4738,1.4738,8.5,8.5,0.9,100.0,17.24
18th Lok Sabha,Andhra Pradesh,NARASARAOPET,3042289,Lavu Srikrisha Devarayalu,0.0,0.0,0.0,0.0,,,,,0.0
18th Lok Sabha,Andhra Pradesh,NELLORE(SC),3042290,PRABHAKAR REDDY VEMIREDDY,14.7,5.1708,9.7884,9.7884,66.6,66.6,35.2,100.0,9.53
18th Lok Sabha,Andhra Pradesh,ONGOLE,3018340,Magunta Sreenivasulu Reddy,14.7,0.0,2.2385,2.1885,15.2,14.9,0.0,97.8,14.7
18th Lok Sabha,Andhra Pradesh,RAJAHMUNDRY,3043486,Daggubati Purandeshwari,14.7,0.0,9.15,8.65,62.2,58.8,0.0,94.5,14.7
18th Lok Sabha,Andhra Pradesh,RAJAMPET,3018941,Midhun Reddy,17.8951,0.9459,12.681,11.8465,70.9,66.2,5.3,93.4,16.95
18th Lok Sabha,Andhra Pradesh,SRIKAKULAM,3018939,Kinjarapu Ram Mohan Naidu,17.1201,2.7773,12.0724,12.0724,70.5,70.5,16.2,100.0,14.34
18th Lok Sabha,Andhra Pradesh,TIRUPATI(SC),3018946,Maddila Gurumoorthy,18.0399,3.3856,9.5122,9.5122,52.7,52.7,18.8,100.0,14.65
18th Lok Sabha,Andhra Pradesh,TIRUPATI(SC),3042291,GURUMOORTHY MADDILA,0.0,0.0,0.0,0.0,,,,,0.0
18th Lok Sabha,Andhra Pradesh,VIJAYAWADA,3042292,Sivanath Kesineni,14.7,0.329,3.6922,3.5622,25.1,24.2,2.2,96.5,14.37
18th Lok Sabha,Andhra Pradesh,VISAKHAPATNAM,3042293,Sribharat MathuKumli,14.7,0.0,7.3715,6.8615,50.1,46.7,0.0,93.1,14.7
18th Lok Sabha,Andhra Pradesh,VIZIANAGARAM,3042294,Appalanaidu Kalisetti,14.7,1.0172,4.8908,4.8778,33.3,33.2,6.9,99.7,13.68
18th Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,3017378,Shri Tapir Gao,14.7,4.1893,9.7593,9.7593,66.4,66.4,28.5,100.0,10.51
18th Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,3018950,Kiren Rijiju,14.7,2.803,9.428,8.758,64.1,59.6,19.1,92.9,11.9
